-log10(h)  d/dx sinx
0.3010299956639812  0.8139151901918652
0.6020599913279624  1.1628557020519747
0.9030899869919435  1.4920269763077991
1.2041199826559248  1.8083142119142945
1.505149978319906  2.1172909022873725
1.806179973983887  2.422376747375334
2.1072099696478683  2.725455687683044
2.4082399653118496  3.0275154613920607
2.709269960975831  3.329061678964804
3.010299956639812  3.630350119658976
3.3113299523037933  3.9315094215473136
3.612359947967774  4.232604091439353
3.9133899436317554  4.533666429854347
4.214419939295737  4.834712599011466
4.515449934959718  5.135750683337634
4.816479930623699  5.436784726701165
5.11750992628768  5.737816752704726
5.418539921951662  6.038847776460446
5.719569917615643  6.339878873458144
6.020599913279624  6.64090888167145
6.321629908943605  6.941939016327145
6.622659904607587  7.242969288287378
6.923689900271567  7.543999836544393
7.224719895935548  7.845030937396552
7.52574989159953  8.146063146819966
7.826779887263511  8.447097563287313
8.127809882927492  8.748136387194053
8.428839878591473  8.922419998886859
8.729869874255455  10.509571247411587
9.030899869919436  13.130463936274454
