-log10(h)  d/dx 1/x
0.3010299956639812  2.0
0.6020599913279624  1.333333333333333
0.9030899869919435  0.8000000000000007
1.2041199826559248  0.44444444444444287
1.505149978319906  0.235294117647058
1.806179973983887  0.12121212121212466
2.1072099696478683  0.06153846153847553
2.4082399653118496  0.031007751937977446
2.709269960975831  0.015564202334644506
3.010299956639812  0.007797270955052227
3.3113299523037933  0.0039024390243866947
3.612359947967774  0.001952171791344881
3.9133899436317554  9.763241396285594E-4
4.214419939295737  4.882216526311822E-4
4.515449934959718  2.4412572383880615E-4
4.816479930623699  1.2206658720970154E-4
5.11750992628768  6.1034224927425385E-5
5.418539921951662  3.0517345294356346E-5
5.719569917615643  1.52587890625E-5
6.020599913279624  7.62939453125E-6
6.321629908943605  3.814697265625E-6
6.622659904607587  1.9073486328125E-6
6.923689900271567  9.5367431640625E-7
7.224719895935548  4.76837158203125E-7
7.52574989159953  2.384185791015625E-7
7.826779887263511  1.1920928955078125E-7
8.127809882927492  5.9604644775390625E-8
8.428839878591473  0.0
8.729869874255455  0.0
9.030899869919436  0.0
